Object Number,Is Highlight,Is Public Domain,Object ID,Department,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Metadata Date,Repository
"Burdick 304, K57.73",False,False,690852,Drawings and Prints,Print,"Untitled trade card from the Children's Scenes and Life series (K57), issued by McLaughlin's Coffee",,,,,,Printer|Artist,Issued by,Schober and Carqueville Lithographic Co.|McLaughlin's Coffee,"American, founded 1876",,Schober and Carqueville Lithographic Co.|McLaughlin's Coffee,,1876      ,9999      ,1891–92,1891,1892,Commercial color lithograph,Sheet: 6 7/8 × 5 3/8 in. (17.5 × 13.6 cm),"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",,,,,,,,,,,,Prints|Ephemera,,http://www.metmuseum.org/art/collection/search/690852,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
17.53.2,False,True,505023,Musical Instruments,Basset Horn,Basset Horn,British,,,,,Maker,,G. Astor & Co.,ca. 1798–ca. 1807,,Astor G. & Co.,,1798      ,1807      ,1798–1826,1798,1826,"Boxwood, ivory, brass",Length: 109.2 cm (43 in.); Diam of bell: 13.3 cm (5-1/4 in.); Mouthpiece: 8.5cm; upper body section 26.9cm; Elbow: 5cm; Lower body section; 22.7cm; Kasten14.8cm; Bell 22.3cm,"Gift of Misses Blumenberg, 1917",,London,,England,United Kingdom,,,,,,,Aerophone-Reed Vibrated-single reed cylindrical,,http://www.metmuseum.org/art/collection/search/505023,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
17.194.815,False,True,250041,Greek and Roman Art,Pinhead,Pinhead,,,,,,,,,,,,,,,,-7000,330,Glass,Height: 1/4 x 3/4 in. (0.6 x 2 cm),"Gift of J. Pierpont Morgan, 1917",,,,,,,,,,,,Glass,,http://www.metmuseum.org/art/collection/search/250041,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
59.533.1951,False,True,811933,Drawings and Prints,Print,The Double Humbug or the Devils Imp Praying for Peace,,,,,,Artist|Subject|Publisher,,"Thomas Rowlandson|Napoléon Bonaparte|Rudolph Ackermann, London","British, London 1757–1827 London|French, Ajaccio 1769–1821 St. Helena|active 1794–1829",,"Rowlandson, Thomas|Bonaparte, Napoléon|Ackermann, Rudolph",,1757      |1769      |1764      ,1827      |1821      |1834      ,"January 1, 1814",1814,1814,Hand-colored etching,Sheet: 9 1/4 in. × 14 in. (23.5 × 35.5 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1959",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/811933,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
2005.231,False,True,438780,European Paintings,"Painting, drawing",Pleasure,,,,,,Artist,,Anton Raphael Mengs,"German, Ústi nad Labem (Aussig) 1728–1779 Rome",,"Mengs, Anton Raphael",German,1728      ,1779      ,ca. 1754,1749,1759,"Pastel on paper, laid down on canvas","Oval, 24 3/8 x 19 1/4 in. (61.9 x 48.9 cm)","Victor Wilbour Memorial, The Alfred N. Punnett Endowment, and Marquand Funds, 2005",,,,,,,,,,,,Pastels & Oil Sketches on Paper,,http://www.metmuseum.org/art/collection/search/438780,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
"91.16.26, .27",False,True,187419,European Sculpture and Decorative Arts,Table knife and fork,Table knife and fork,Southern German,,,,,,,,,,,,,,18th century,1700,1799,"Steel, mother-of-pearl, paste","Length (fork .26): 8 1/8 in. (20.6 cm);
Length (knife .27): 9 1/8 in. (23.2 cm)","Gift of R. Stuyvesant, 1891",,,,,,,,,,,,Metalwork-Steel,,http://www.metmuseum.org/art/collection/search/187419,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
09.50.3686,False,True,68163,Asian Art,Sample,,Japan,,,,,,,,,,,,,,19th century,1800,1899,Silk,2 1/8 × 2 1/8 in. (5.4 × 5.4 cm),"Rogers Fund, 1909",,,,,,,,,,,,Textiles-Woven,,http://www.metmuseum.org/art/collection/search/68163,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
80.3.505,False,True,340106,Drawings and Prints,Drawing,Saint Francis de Sales (canonized 1665),,,,,,Artist,,"Anonymous, Italian, Roman-Bolognese, 17th century",,,"Anonymous, Italian, Roman-Bolognese, 17th century",Italian,1600      ,1700      ,17th century,1600,1700,"Pen and brown ink, brush and brown wash, over red chalk, on light tan paper.  Framing outline in brown ink over red chalk. Squared for transfer in red chalk",13-7/8 x 9-3/4 in.  (35.3 x 24.8 cm),"Gift of Cornelius Vanderbilt, 1880",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/340106,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
"Burdick 325, R327.64",False,False,410616,Drawings and Prints,Baseball card,"""Heinie"" Manush",,,,,,Publisher,,"National Chicle Gum Company, Cambridge, Massachusetts",,,National Chicle Gum Company,,,,1935,1935,1935,Commercial color lithograph,Sheet: 2 7/8 x 2 3/8 in. (7.3 x 6 cm),"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",,,,,,,,,,,,Prints|Ephemera,,http://www.metmuseum.org/art/collection/search/410616,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
2010.418,False,True,237878,European Sculpture and Decorative Arts,Medal,Anatole De La Forge,French,,,,,Maker,,Louis-Ernest Barrias,1841–1905,,Barrias Louis-Ernest,,1841      ,1905      ,late 19th century,1885,1899,Bronze,"Overall: 8 5/8 in. (21.9 cm)
Framed: 11 3/8 in. (28.9 cm)","Gift of Dr. and Mrs. Michael Schlossberg, 2010",,,,,,,,,,,,Medals and Plaquettes,,http://www.metmuseum.org/art/collection/search/237878,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
1980.502.77,False,True,627,American Decorative Arts,Bottle,Bottle,American,,,,,,,,,,,,,,1810–30,1810,1810,"Blown, pattern-molded glass",H. 8 1/2 in. (21.6 cm),"Gift of Henry G. Schiff, 1980",Possibly made in|Possibly made in,,,,United States|United States,,,,,,,Glass,,http://www.metmuseum.org/art/collection/search/627,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
1974.219,False,True,37864,Asian Art,Folio,,India (Bikaner),,,,,,,,,,,,,,1680–90,1680,1690,Ink and opaque watercolor on paper,Overall: 8 7/8 x 12 1/4in. (22.5 x 31.1cm),"Gift of Jeffrey Paley, 1974",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/37864,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
53.217.3,False,True,201601,European Sculpture and Decorative Arts,Armchair ,Armchair (one of a pair),"French, Paris",,,,,Maker,,Claude Chevigny,master 1768–88,,CHEVIGNY CLAUDE,,1768      ,1788      ,ca. 1768–70,1763,1775,Carved and gilded beech; modern silk brocade,H. 40-1/4 x W. 26 x D. 24 in.  (102.2 x 66.0 x 61.0 cm),"Gift of Mrs. Byron C. Foy, 1953",,,,,,,,,,,,Woodwork-Furniture,,http://www.metmuseum.org/art/collection/search/201601,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
63.350.329.414-15.7,False,False,778878,Drawings and Prints,Baseball card,"Bill Mazeroski, Second Base, Pittsburgh Pirates, from the Bazooka ""Blank Back"" series (R414-15), issued by Topps Chewing Gum Company.",,,,,,Publisher,Issued by,Topps Chewing Gum Company,"American, Brooklyn",,Topps Chewing Gum Company,,,,1959,1959,1959,Commerical color lithograph on cardboard,Sheet: 5 3/4 × 2 3/4 in. (14.6 × 7 cm),"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",,,,,,,,,,,,Prints|Ephemera,,http://www.metmuseum.org/art/collection/search/778878,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
61.669.41,False,True,363361,Drawings and Prints,Drawing ; Ornament and architecture,Design for Wall with Chimney Piece,,,,,,Artist,,"Anonymous, British, 19th century",,,"Anonymous, British, 19th century",British,1800      ,1900      ,19th century,1800,1900,Ink on tracing paper,,"Gift of the Royal Institute of British Architects, 1961",,,,,,,,,,,,Drawings|Ornament & Architecture,,http://www.metmuseum.org/art/collection/search/363361,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
74.51.1986,False,True,241540,Greek and Roman Art,Lamp,Terracotta oil lamp,Roman,Mid Imperial,,,,,,,,,,,,,2nd century A.D.,100,199,Terracotta,"Length: 3 1/8 in. (8 cm)
Height: 1 in. (2.5 cm)","The Cesnola Collection, Purchased by subscription, 1874–76",,,,,,,,,,,,Terracottas,,http://www.metmuseum.org/art/collection/search/241540,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
26.7.869,False,False,552678,Egyptian Art,Amulet,Sakhmet Amulet,,Late Period–Ptolemaic Period,Dynasty 26–30,,,,,,,,,,,,664–30 B.C.,-664,-30,Faience,H. 7.8 cm (3 1/16 in.),"Purchase, Edward S. Harkness Gift, 1926",From,,,,Egypt,,,,,,,,,http://www.metmuseum.org/art/collection/search/552678,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
C.I.59.36,False,True,107868,Costume Institute,Jacket,Jacket,American,,,,,,,,,,,,,,1860s,1860,1869,wool,,"Gift of Mrs. Folwell W. Coan, 1959",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/107868,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
1991.1073.38(7),False,False,727107,Drawings and Prints,Book Prints Ornament & Architecture,"Collection ""Décors et Couleurs"" Album No. 2, Planche 7",,,,,,Publisher|Artist|Artist,Published by|Rep. artist,Éditions Albert Lévy|Jean Saudé|Jean Burkhalter,French,", Paris","Lévy, Albert, Éditions|Saudé, Jean|Burkhalter, Jean",,,,[ca. 1930],1925,1935,Pochoir,"Sheet: 15 9/16 × 12 1/8 in. (39.5 × 30.8 cm)
Album: 16 in. × 13 1/4 in. × 9/16 in. (40.7 × 33.6 × 1.4 cm)","Rogers Fund, 1931, transferred from the Library (1991.1073.38)",,Paris,,,,,,,,,,Books|Prints|Ornament & Architecture,,http://www.metmuseum.org/art/collection/search/727107,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
30.102.3,False,False,357683,Drawings and Prints,Book,Tale about Mar'ia Morevna,,,,,,Publisher|Printer|Illustrator,Published by|Printed by,Avantso|A. A. Levenson|Boris Zvorykin,"Russian|Russian, Moscow 1872–1942 Paris",,"Avantso|Levenson, A. A.|Zvorykin, Boris",Russian|Russian|Russian,1872      ,1942      ,1904,1904,1904,Color halftone,Overall: 13 3/8 x 10 13/16 x 1/4 in. (34 x 27.4 x 0.6 cm),"Harris Brisbane Dick Fund, 1930",,Moscow,,,,,,,,,,Books,,http://www.metmuseum.org/art/collection/search/357683,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
38.91.52,False,False,361982,Drawings and Prints,Print,"Remembrance of, Gratitude and Respect to the late Prince Albert, Who in Realizing the Idea of International Exhibitions, Has Contributed to Bring Together in Closer Relation the People of all Countries, and has Thus Prepared the Happiness of the World",,,,,,Artist,,Ignace-François Bonhommé,"French, Paris 1809–1881 Paris",,"Bonhommé, Ignace François",French,1809      ,1881      ,1862,1862,1862,Lithograph,,"Harris Brisbane Dick Fund, 1930",,Paris,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/361982,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
32.75.464,False,True,23535,Arms and Armor,Arrowhead (Yanonē),Arrowhead (Yanonē),Japanese,,,,,,,,,,,,,,18th century,1701,1800,Steel,L. 15 3/4 in. (40 cm); L. of head 5 1/4 in. (13.3 cm); W. 4 1/4 in. (10.8 cm); Wt. 3.3 oz. (93.6 g),"The Collection of Giovanni P. Morosini, presented by his daughter Giulia, 1932",,,,,,,,,,,,Archery Equipment-Arrowheads,,http://www.metmuseum.org/art/collection/search/23535,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
11.215.278,False,True,551550,Egyptian Art,"Pendant, cornflowers",Cornflower Pendant,,New Kingdom,Dynasty 18,reign of Amenhotep III,,,,,,,,,,,ca. 1390–1353 B.C.,-1390,-1390,Faience,L. 2 cm (13/16 in),"Rogers Fund, 1911",From,,,,Egypt,"Upper Egypt, Thebes",Malqata,Palace of Amenhotep III,,"MMA excavations, 1910–11",,,,http://www.metmuseum.org/art/collection/search/551550,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
31.67.11,False,False,351737,Drawings and Prints,Book,The Home Affections Portrayed by the Poets,,,,,,Editor|Engraver|Publisher|Binder|Printer|Artist|Artist|Artist|Artist|Artist|Artist|Artist|Artist|Artist|Artist|Artist|Artist|Artist|Artist|Artist|Artist|Artist|Artist|Artist|Artist|Artist|Artist,Selected and edited by,Charles Mackay|Dalziel Brothers|George Routledge & Co.|Burn|Richard Clay|Sir John Everett Millais|Sir John Tenniel|Sir John Gilbert|Myles Birket Foster|Alfred Elmore|Harrison William Weir|William Harvey|John Absolon|Thomas Dalziel|John Richard Clayton|George Haydock Dodgson|Samuel Read|Francis William Topham|Alexander Johnston|Frederick Richard Pickersgill|Adolphus M. Madot|J. Mulcaster Carrick|George Housman Thomas|James Godwin|Edward Duncan|John Sleigh|James Abbott Pasquier,"British (born Scotland), 1812–1889|British, active 1839–1893|London and New York|London|London|British, Southampton 1829–1896 London|British, London 1820–1914 London|British, London 1817–1897 London|British, Northumberland 1825–1899 Braeside|Irish, Clonakilty, County Cork 1815–1881 London|British, Lewes, Sussex 1824–1906 Appledore, Kent|British, Newcastle-upon-Tyne 1796–1866 Richmond, Surrey|British, London 1815–1895|British, Wooler, Northumberland 1823–1906 Herne Bay, Kent|British, London 1827–1913 London|British, Liverpool 1811–1880 London|British, Needham Market, Suffolk 1817/18–1883 Sidmouth Devon|British, Leeds 1808–1877 Córdoba, Spain|British (born Scotland), 1815–1891|British, London 1820–1900 Yarmouth, Isle of Wight|British, active from 1852, died 1861|British, born Carlisle, Cumbria 1833, active to 1888|British, London 1824–1868 Boulogne|British, active 1846–51, died 1876 London|British, London 1803–1882 London|British, active 1841–72|British, active 1851–79",,"Mackay, Charles|Dalziel Brothers|Routledge, George & Company|Burn|Clay, Richard|Millais, John Everett, Sir|Tenniel, John Sir|Gilbert, John Sir|Foster, Myles Birket|Elmore, Alfred|Weir, Harrison William|Harvey, William|Absolon, John|Dalziel, Thomas|Clayton, John Richard|Dodgson, George Haycock|Read, Samuel|Topham, Francis William|Johnston, Alexander|Pickersgill, Frederick Richard|Madot, Adolphus M.|Carrick, J. Mulcaster|Thomas, George Housman|Godwin, James|Duncan, Edward|Sleigh, John|Pasquier, James Abbott","British, Scottish|British|British American|British|British|British|British|British|British|Irish|British|British|British|British|British|British|British|British|British, Scottish|British|British|British|British|British|British|British|British",1812      |1839      |1800      |1800      |1800      |1829      |1820      |1817      |1825      |1815      |1824      |1796      |1815      |1823      |1827      |1811      |1817      |1808      |1815      |1820      |1852      |1833      |1824      |1776      |1803      |1841      |1851      ,1889      |1893      |1900      |1900      |1899      |1896      |1914      |1897      |1899      |1881      |1906      |1866      |1895      |1906      |1913      |1880      |1883      |1877      |1891      |1900      |1861      |1933      |1868      |1876      |1882      |1872      |1879      ,1858,1858,1858,Illustrations: wood engraving,9 1/16 x 6 7/8 x 1 3/8 in. (23 x 17.5 x 3.5 cm),"Harris Brisbane Dick Fund, 1931",,,,,,,,,,,,Books,,http://www.metmuseum.org/art/collection/search/351737,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
14.4.97,False,True,555500,Egyptian Art,"Linen fragment, fringe",Sample of Fringed Cloth,,Third Intermediate Period,Dynasty 23,,,,,,,,,,,,ca. 818–700 B.C.,-818,-700,Linen,13.5 x 17.5 cm (5 5/16 x 6 7/8 in.),"Gift of the Egyptian Research Account and British School of Archaeology in Egypt, 1914",From,,,,Egypt,Fayum Entrance Area,Tarkhan,,,BSAE excavations 1911-1913,,,,http://www.metmuseum.org/art/collection/search/555500,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
63.350.203.45.900,False,True,415613,Drawings and Prints,Photograph,"From the Actors and Actresses series (N45, Type 5) for Virginia Brights Cigarettes",,,,,,Publisher,Issued by,Allen & Ginter,"American, Richmond, Virginia",,Allen & Ginter,American,,,ca. 1888,1885,1891,Albumen photograph,Sheet: 2 3/4 x 1 3/8 in. (7 x 3.5 cm),"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",,,,,,,,,,,,Photographs|Ephemera,,http://www.metmuseum.org/art/collection/search/415613,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
1984.1203.197,False,False,359550,Drawings and Prints,Book,Tauromachie,,,,,,Artist|Publisher,Published by,Willi Geiger|E. A. Seemann,"German, Schönbrunn 1878–1971 Munich",,"Geiger, Willi|Seemann, E. A.",German|German,1878      |1850      ,1971      |1930      ,1920,1920,1920,Drypoint etchings,Overall: 10 1/4 x 12 5/8 x 9/16 in. (26 x 32 x 1.5 cm),"Bequest of Scofield Thayer, 1982",,,,,,,,,,,,Books,,http://www.metmuseum.org/art/collection/search/359550,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
50.602.1094,False,False,654879,Drawings and Prints,cut paper,"John G. Hooper, Jr. III",,,,,,Artist,,Auguste Edouart,"French, 1789–1861",,"Edouart, Auguste",French,1789      ,1861      ,1842,1842,1842,Cut paper silhouette,Image: 8 1/16 × 2 1/2 in. (20.5 × 6.4 cm),"Glenn Tilley Morse Collection, Bequest of Glenn Tilley Morse, 1950",,,,,,,,,,,,Cut Paper|Ephemera,,http://www.metmuseum.org/art/collection/search/654879,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
63.350.203.45.1046,False,True,416086,Drawings and Prints,Photograph,"From the Actors and Actresses series (N45, Type 4) for Virginia Brights Cigarettes",,,,,,Publisher,Issued by,Allen & Ginter,"American, Richmond, Virginia",,Allen & Ginter,American,,,ca. 1888,1885,1891,Albumen photograph,Sheet: 2 3/4 x 1 3/8 in. (7 x 3.5 cm),"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",,,,,,,,,,,,Photographs|Ephemera,,http://www.metmuseum.org/art/collection/search/416086,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
1982.157.3a–c,False,False,101812,Costume Institute,Bridesmaid ensemble,Bridesmaid ensemble,British,,,,,Designer|Designer|Design House,,David Emanuel|Elizabeth Emanuel|Emanuel,"British, born 1952|British, born 1953|British, 1977–1990",,Emanuel David|Emanuel Elizabeth|Emanuel David and Elizabeth,British|British|British,1952      |1953      |1977      ,2052      |2053      |1990      ,1982,1982,1982,"synthetics, silk",,"Gift of David and Elizabeth Emanuel, 1982",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/101812,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
11.215.452j,False,True,577195,Egyptian Art,Armor scale,Scale from Armor,,New Kingdom,Dynasty 18,reign of Amenhotep III,,,,,,,,,,,ca. 1390–1353 B.C.,-1390,-1390,Bronze,average l. ca. 11.5 cm (4 1/2 in),"Rogers Fund, 1911",From,,,,Egypt,"Upper Egypt, Thebes",Malqata,Palace of Amenhotep III,,"MMA excavations, 1910–11",,,,http://www.metmuseum.org/art/collection/search/577195,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
49.97.386,False,True,370565,Drawings and Prints,Print,Penitence (Poenitentia),,,,,,Artist,Engraved by,Enea Vico,"Italian, Parma 1523–1567 Ferrara",,"Vico, Enea",Italian,1523      ,1567      ,ca. 1545–50,1540,1555,Engraving,sheet: 3 1/8 x 3 1/16 in. (8 x 7.8 cm) trimmed just outside platemark,"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1949",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/370565,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
50.602.1007,False,False,656663,Drawings and Prints,cut paper,"P. J. Wagner of Fort Plain, Montgomery County, New York",,,,,,Artist,,Auguste Edouart,"French, 1789–1861",,"Edouart, Auguste",French,1789      ,1861      ,1841,1841,1841,Cut paper silhouette,Image: 8 3/16 × 2 3/8 in. (20.8 × 6 cm),"Glenn Tilley Morse Collection, Bequest of Glenn Tilley Morse, 1950",,,,,,,,,,,,Cut Paper|Ephemera,,http://www.metmuseum.org/art/collection/search/656663,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
63.350.651.186,False,False,780718,Photographs,Stereograph,"[Wale Carcass and Fishermen, Nantucket]",,,,,,Artist,,Josiah Freeman,"American, active Nantucket, 1867–1892",,"Freeman, Josiah",,,,1860s–80s,1860,1889,Albumen silver print,Approx. 3 1/2 × 7 in. (8.9 × 17.8 cm),"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/780718,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
1979.206.190,False,False,312395,"Arts of Africa, Oceania, and the Americas",Wrapper,Wrapper (Bogolanfini),Bamana peoples,,,,,,,,,,,,,,19th–20th century,1800,2000,"Cotton, dye",H. 37 x W. 57 11/16 in. (94 x 146.5 cm),"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller, 1979",,,,,Mali,,,,,,,Textiles-Woven,,http://www.metmuseum.org/art/collection/search/312395,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
"Burdick 314, E47.18",False,False,432885,Drawings and Prints,Print,"M.C.J. Lefevre, French, from the Jockey Caramels series (E47) for the American Caramel Company",,,,,,Publisher,Issued by,"American Caramel Company, Philadelphia",,,American Caramel Company,American,,,1910,1910,1910,Commercial color lithograph,Sheet: 2 3/4 × 1 1/2 in. (7 × 3.8 cm),"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",,,,,,,,,,,,Prints|Ephemera,,http://www.metmuseum.org/art/collection/search/432885,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
41.97.286(5a),False,False,623559,Drawings and Prints,Print,"Saints ascending steps, from Prove di Vari Rami Inediti [...]",,,,,Prove di Vari Rami Inediti [...],Artist|Artist,After,Francesco Rosaspina|Parmigianino (Girolamo Francesco Maria Mazzola),"Italian, Montescudo 1762–1841 Bologna|Italian, Parma 1503–1540 Casalmaggiore",,"Rosaspina, Francesco|Parmigianino (Girolamo Francesco Maria Mazzola)",Italian|Italian,1762      |1503      ,1841      |1540      ,19th century,1780,1841,Etching with aquatint,"Mount: 19 5/8 × 15 1/4 in. (49.8 × 38.7 cm)
Sheet: 11 × 8 9/16 in. (28 × 21.8 cm)
Plate: 10 9/16 × 8 1/4 in. (26.8 × 21 cm)","Gift of Harry Shaw Newman, 1941",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/623559,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
52.572,False,False,435526,Drawings and Prints,Print,The County Election,,,,,,Artist|Engraver|Printer|Publisher,After,George Caleb Bingham|John Sartain|James Irwin|Goupil & Co.,"American, Augusta County, Virginia 1811–1879 Kansas City, Missouri|American, London, England 1808–1897 Philadelphia, Pennsylvania|American, active mid 19th century",", New York, Paris, London, Berlin","Bingham, George Caleb|Sartain, John|Irwin, James|Goupil & Co.",American|American|American|French,1811      |1808      |1800      |1850      ,1879      |1897      |1900      |1950      ,1847,1847,1847,Engraving; India proof before final letters,21-1/2 x 26-1/2 in.  (54.6 x 67.3 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1952",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/435526,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
1978.412.742,False,False,311184,"Arts of Africa, Oceania, and the Americas",Pipe,Pipe,Massim people,,,,,,,,,,,,,,late 19th–early 20th century,1800,2000,Bamboo,"H. 12 5/8 x Diam. 2 1/2 in. (32.1 x 6.4 cm)
","The Michael C. Rockefeller Memorial Collection, Purchase, Nelson A. Rockefeller Gift, 1960",,,,Milne Bay Province,Papua New Guinea,,,,,,Cloudy Bay (?),Wood-Implements,,http://www.metmuseum.org/art/collection/search/311184,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
08.105.13a,False,True,463081,Medieval Art,Paten,Paten,Spanish,,,,,,,,,,,,,,early 20th century (original dated 12th century),1100,1199,Silver-gilt,Overall: 1/4 x 5 5/16 in. (0.7 x 13.5 cm),"Rogers Fund, 1908",,,,,,,,,,,,Reproductions-Metalwork,,http://www.metmuseum.org/art/collection/search/463081,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
1971.180.108,False,False,314,American Decorative Arts,Vase,Baluster Vase,Chinese,,,,,,,,,,,,,,1800–1900,1800,1900,Porcelain,H. 9 1/8 in. (23.2 cm),"Bequest of Flora E. Whiting, 1971",Made in,,,,China,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/314,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
1985.1027.59,False,True,271852,Photographs,Photograph,"[Thomas Eakins's Horse Billy and Two Crowell Children at Avondale, Pennsylvania]",,,,,,Artist,,Thomas Eakins,"American, Philadelphia, Pennsylvania 1844–1916 Philadelphia, Pennsylvania",,"Eakins, Thomas",American,1844      ,1916      ,ca. 1892,1890,1894,Platinum print ,8.1 x 9.8 cm (3 3/16 x 3 7/8 in.) irregular,"Gift of Joseph R. Lasser and Ruth P. Lasser, 1985",,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/271852,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
48.187.527,False,True,200485,European Sculpture and Decorative Arts,Necklace,Necklace,Chinese,,,,,,,,,,,,,,early 19th century,1800,1815,Jade,Length: 64 1/2 in. (163.8 cm),"Bequest of Catherine D. Wentworth, 1948",,,,,,,,,,,,Costume Accessories,,http://www.metmuseum.org/art/collection/search/200485,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
2011.551.11,False,False,299431,Photographs,Photograph,[Man Wearing Suspenders Stepping onto Sidewalk],,,,,,Artist,,Leon Levinstein,"American, Buckhannon, West Virginia 1910–1988 New York",,"Levinstein, Leon",American,1910      ,1988      ,1970s,1970,1979,Gelatin silver print,33 x 22.9 cm (13 x 9 in.),"Gift of a private collector, 2011",,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/299431,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
89.4.528,False,True,501144,Musical Instruments,Flute,Flute,Malagasy,,,,,,,,,,,,,,late 19th century,1850,1900,Bamboo,L. 35.6 cm (14 in.),"The Crosby Brown Collection of Musical Instruments, 1889",,,,,Madagascar,,,,,,,Aerophone-Blow Hole-end-blown flute (vertical),,http://www.metmuseum.org/art/collection/search/501144,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
